,aeid,Rosig_AC50,Trog_AC50,test_status,biological_process_target,intended_target_family,intended_target_family_sub,test_target,intended_target_gene_symbol,technological_target_gene_symbol,intended_target_entrez_gene_id,technological_target_entrez_gene_id,intended_target_gene_name,technological_target_gene_name,assay_component_endpoint_name,assay_name
122,103,5.42870866813587,1.78534435441659,R-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1I2,NR1I2,NR1I2,8856,8856,"nuclear receptor subfamily 1, group I, member 2","nuclear receptor subfamily 1, group I, member 2",ATG_PXRE_CIS_up,ATG_CIS
123,1474,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1I2,,NR1I2,,8856,,"nuclear receptor subfamily 1, group I, member 2",ATG_PXRE_CIS_dn,ATG_CIS
124,104,7.41901758351122,9.0323703790621,R-T,regulation of transcription factor activity,nuclear receptor,orphan,RORA|RORB|RORC,RORA|RORB|RORC,RORA|RORB|RORC,6095|6096|6097,6095|6096|6097,RAR-related orphan receptor A|RAR-related orphan receptor B|RAR-related orphan receptor C,RAR-related orphan receptor A|RAR-related orphan receptor B|RAR-related orphan receptor C,ATG_RORE_CIS_up,ATG_CIS
125,1483,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,orphan,RORA|RORB|RORC,,RORA|RORB|RORC,,6095|6096|6097,,RAR-related orphan receptor A|RAR-related orphan receptor B|RAR-related orphan receptor C,ATG_RORE_CIS_dn,ATG_CIS
126,105,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,HMG box protein,SOX1,SOX1,SOX1,6656,6656,SRY (sex determining region Y)-box 1,SRY (sex determining region Y)-box 1,ATG_Sox_CIS_up,ATG_CIS
127,1490,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,HMG box protein,SOX1,,SOX1,,6656,,SRY (sex determining region Y)-box 1,ATG_Sox_CIS_dn,ATG_CIS
128,106,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,zinc finger,SP1,SP1,SP1,6667,6667,Sp1 transcription factor,Sp1 transcription factor,ATG_Sp1_CIS_up,ATG_CIS
129,1491,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,zinc finger,SP1,,SP1,,6667,,Sp1 transcription factor,ATG_Sp1_CIS_dn,ATG_CIS
130,107,5.55049295896916,2.05116674381167,R-T,regulation of transcription factor activity,dna binding,basic helix-loop-helix leucine zipper,SREBF1,SREBF1,SREBF1,6720,6720,sterol regulatory element binding transcription factor 1,sterol regulatory element binding transcription factor 1,ATG_SREBP_CIS_up,ATG_CIS
131,1492,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,basic helix-loop-helix leucine zipper,SREBF1,,SREBF1,,6720,,sterol regulatory element binding transcription factor 1,ATG_SREBP_CIS_dn,ATG_CIS
132,108,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,stat protein,STAT3,STAT3,STAT3,6774,6774,signal transducer and activator of transcription 3 (acute-phase response factor),signal transducer and activator of transcription 3 (acute-phase response factor),ATG_STAT3_CIS_up,ATG_CIS
133,1493,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,stat protein,STAT3,,STAT3,,6774,,signal transducer and activator of transcription 3 (acute-phase response factor),ATG_STAT3_CIS_dn,ATG_CIS
134,109,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_TA_CIS_up,ATG_CIS
135,1495,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_TA_CIS_dn,ATG_CIS
136,110,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_TAL_CIS_up,ATG_CIS
137,1494,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_TAL_CIS_dn,ATG_CIS
138,111,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,HMG box protein,LEF1|TCF7|TCF7L1|TCF7L2,LEF1|TCF7|TCF7L1|TCF7L2,LEF1|TCF7|TCF7L1|TCF7L2,51176|6932|83439|6934,51176|6932|83439|6934,"lymphoid enhancer-binding factor 1|transcription factor 7 (T-cell specific, HMG-box)|transcription factor 7-like 1 (T-cell specific, HMG-box)|transcription factor 7-like 2 (T-cell specific, HMG-box)","lymphoid enhancer-binding factor 1|transcription factor 7 (T-cell specific, HMG-box)|transcription factor 7-like 1 (T-cell specific, HMG-box)|transcription factor 7-like 2 (T-cell specific, HMG-box)",ATG_TCF_b_cat_CIS_up,ATG_CIS
139,1496,1000000.0,16.3633159218276,nR-T,regulation of transcription factor activity,dna binding,HMG box protein,LEF1|TCF7|TCF7L1|TCF7L2,,LEF1|TCF7|TCF7L1|TCF7L2,,51176|6932|83439|6934,,"lymphoid enhancer-binding factor 1|transcription factor 7 (T-cell specific, HMG-box)|transcription factor 7-like 1 (T-cell specific, HMG-box)|transcription factor 7-like 2 (T-cell specific, HMG-box)",ATG_TCF_b_cat_CIS_dn,ATG_CIS
140,112,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,growth factor,transforming growth factor beta,TGFB1,TGFB1,TGFB1,7040,7040,"transforming growth factor, beta 1","transforming growth factor, beta 1",ATG_TGFb_CIS_up,ATG_CIS
141,1497,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,growth factor,transforming growth factor beta,TGFB1,,TGFB1,,7040,,"transforming growth factor, beta 1",ATG_TGFb_CIS_dn,ATG_CIS
142,113,16.8477432454253,8.28579935808832,R-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,VDR,VDR,VDR,7421,7421,"vitamin D (1,25- dihydroxyvitamin D3) receptor","vitamin D (1,25- dihydroxyvitamin D3) receptor",ATG_VDRE_CIS_up,ATG_CIS
143,1503,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,VDR,,VDR,,7421,,"vitamin D (1,25- dihydroxyvitamin D3) receptor",ATG_VDRE_CIS_dn,ATG_CIS
144,114,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,basic leucine zipper,XBP1,XBP1,XBP1,7494,7494,X-box binding protein 1,X-box binding protein 1,ATG_Xbp1_CIS_up,ATG_CIS
145,1505,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,basic leucine zipper,XBP1,,XBP1,,7494,,X-box binding protein 1,ATG_Xbp1_CIS_dn,ATG_CIS
146,115,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,AR,AR,AR,367,367,androgen receptor,androgen receptor,ATG_AR_TRANS_up,ATG_TRANS
147,1403,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,AR,,AR,,367,,androgen receptor,ATG_AR_TRANS_dn,ATG_TRANS
148,116,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1I3,NR1I3,NR1I3,9970,9970,"nuclear receptor subfamily 1, group I, member 3","nuclear receptor subfamily 1, group I, member 3",ATG_CAR_TRANS_up,ATG_TRANS
149,1405,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1I3,,NR1I3,,9970,,"nuclear receptor subfamily 1, group I, member 3",ATG_CAR_TRANS_dn,ATG_TRANS
150,117,1000000.0,5.41625361620265,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,ESR1,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,ATG_ERa_TRANS_up,ATG_TRANS
151,1417,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,ESR1,,ESR1,,2099,,estrogen receptor 1,ATG_ERa_TRANS_dn,ATG_TRANS
152,118,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,ESRRA,ESRRA,ESRRA,2101,2101,estrogen-related receptor alpha,estrogen-related receptor alpha,ATG_ERRa_TRANS_up,ATG_TRANS
153,1420,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,ESRRA,,ESRRA,,2101,,estrogen-related receptor alpha,ATG_ERRa_TRANS_dn,ATG_TRANS
154,119,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,ESRRG,ESRRG,ESRRG,2104,2104,estrogen-related receptor gamma,estrogen-related receptor gamma,ATG_ERRg_TRANS_up,ATG_TRANS
155,1422,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,ESRRG,,ESRRG,,2104,,estrogen-related receptor gamma,ATG_ERRg_TRANS_dn,ATG_TRANS
156,120,31.5133690234594,16.2238698943722,R-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H4,NR1H4,NR1H4,9971,9971,"nuclear receptor subfamily 1, group H, member 4","nuclear receptor subfamily 1, group H, member 4",ATG_FXR_TRANS_up,ATG_TRANS
157,1427,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H4,,NR1H4,,9971,,"nuclear receptor subfamily 1, group H, member 4",ATG_FXR_TRANS_dn,ATG_TRANS
158,121,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,GAL4,,GAL4,,855828,,Gal4p,ATG_GAL4_TRANS_up,ATG_TRANS
159,1428,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,GAL4,,GAL4,,855828,,Gal4p,ATG_GAL4_TRANS_dn,ATG_TRANS
160,122,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,NR3C1,NR3C1,NR3C1,2908,2908,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",ATG_GR_TRANS_up,ATG_TRANS
161,1433,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,NR3C1,,NR3C1,,2908,,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",ATG_GR_TRANS_dn,ATG_TRANS
162,123,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,orphan,HNF4A,HNF4A,HNF4A,3172,3172,"hepatocyte nuclear factor 4, alpha","hepatocyte nuclear factor 4, alpha",ATG_HNF4a_TRANS_up,ATG_TRANS
163,1435,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,orphan,HNF4A,,HNF4A,,3172,,"hepatocyte nuclear factor 4, alpha",ATG_HNF4a_TRANS_dn,ATG_TRANS
164,125,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H3,NR1H3,NR1H3,10062,10062,"nuclear receptor subfamily 1, group H, member 3","nuclear receptor subfamily 1, group H, member 3",ATG_LXRa_TRANS_up,ATG_TRANS
165,1443,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H3,,NR1H3,,10062,,"nuclear receptor subfamily 1, group H, member 3",ATG_LXRa_TRANS_dn,ATG_TRANS
166,126,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H2,NR1H2,NR1H2,7376,7376,"nuclear receptor subfamily 1, group H, member 2","nuclear receptor subfamily 1, group H, member 2",ATG_LXRb_TRANS_up,ATG_TRANS
167,1444,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H2,,NR1H2,,7376,,"nuclear receptor subfamily 1, group H, member 2",ATG_LXRb_TRANS_dn,ATG_TRANS
168,127,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_M_06_TRANS_up,ATG_TRANS
169,1450,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_M_06_TRANS_dn,ATG_TRANS
170,128,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_M_19_TRANS_up,ATG_TRANS
171,1452,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_M_19_TRANS_dn,ATG_TRANS
172,129,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_M_32_TRANS_up,ATG_TRANS
173,1454,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_M_32_TRANS_dn,ATG_TRANS
174,130,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_M_61_TRANS_up,ATG_TRANS
175,1456,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_M_61_TRANS_dn,ATG_TRANS
176,131,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,orphan,NR4A2,NR4A2,NR4A2,4929,4929,"nuclear receptor subfamily 4, group A, member 2","nuclear receptor subfamily 4, group A, member 2",ATG_NURR1_TRANS_up,ATG_TRANS
177,1463,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,orphan,NR4A2,,NR4A2,,4929,,"nuclear receptor subfamily 4, group A, member 2",ATG_NURR1_TRANS_dn,ATG_TRANS
178,132,4.69765466942883,1000000.0,R-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARA,PPARA,PPARA,5465,5465,peroxisome proliferator-activated receptor alpha,peroxisome proliferator-activated receptor alpha,ATG_PPARa_TRANS_up,ATG_TRANS
179,1469,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARA,,PPARA,,5465,,peroxisome proliferator-activated receptor alpha,ATG_PPARa_TRANS_dn,ATG_TRANS
180,133,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARD,PPARD,PPARD,5467,5467,peroxisome proliferator-activated receptor delta,peroxisome proliferator-activated receptor delta,ATG_PPARd_TRANS_up,ATG_TRANS
181,1470,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARD,,PPARD,,5467,,peroxisome proliferator-activated receptor delta,ATG_PPARd_TRANS_dn,ATG_TRANS
182,134,0.0139712047065726,0.154710938505264,R-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARG,PPARG,PPARG,5468,5468,peroxisome proliferator-activated receptor gamma,peroxisome proliferator-activated receptor gamma,ATG_PPARg_TRANS_up,ATG_TRANS
183,1471,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARG,,PPARG,,5468,,peroxisome proliferator-activated receptor gamma,ATG_PPARg_TRANS_dn,ATG_TRANS
184,135,5.68345560579966,2.80015257370663,R-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1I2,NR1I2,NR1I2,8856,8856,"nuclear receptor subfamily 1, group I, member 2","nuclear receptor subfamily 1, group I, member 2",ATG_PXR_TRANS_up,ATG_TRANS
185,1475,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1I2,,NR1I2,,8856,,"nuclear receptor subfamily 1, group I, member 2",ATG_PXR_TRANS_dn,ATG_TRANS
186,136,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RARA,RARA,RARA,5914,5914,"retinoic acid receptor, alpha","retinoic acid receptor, alpha",ATG_RARa_TRANS_up,ATG_TRANS
187,1476,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RARA,,RARA,,5914,,"retinoic acid receptor, alpha",ATG_RARa_TRANS_dn,ATG_TRANS
188,137,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RARB,RARB,RARB,5915,5915,"retinoic acid receptor, beta","retinoic acid receptor, beta",ATG_RARb_TRANS_up,ATG_TRANS
189,1477,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RARB,,RARB,,5915,,"retinoic acid receptor, beta",ATG_RARb_TRANS_dn,ATG_TRANS
190,138,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RARG,RARG,RARG,5916,5916,"retinoic acid receptor, gamma","retinoic acid receptor, gamma",ATG_RARg_TRANS_up,ATG_TRANS
191,1478,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RARG,,RARG,,5916,,"retinoic acid receptor, gamma",ATG_RARg_TRANS_dn,ATG_TRANS
192,139,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,orphan,RORB,RORB,RORB,6096,6096,RAR-related orphan receptor B,RAR-related orphan receptor B,ATG_RORb_TRANS_up,ATG_TRANS
193,1482,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,orphan,RORB,,RORB,,6096,,RAR-related orphan receptor B,ATG_RORb_TRANS_dn,ATG_TRANS
194,140,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,orphan,RORC,RORC,RORC,6097,6097,RAR-related orphan receptor C,RAR-related orphan receptor C,ATG_RORg_TRANS_up,ATG_TRANS
195,1484,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,orphan,RORC,,RORC,,6097,,RAR-related orphan receptor C,ATG_RORg_TRANS_dn,ATG_TRANS
196,141,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RXRA,RXRA,RXRA,6256,6256,"retinoid X receptor, alpha","retinoid X receptor, alpha",ATG_RXRa_TRANS_up,ATG_TRANS
197,1485,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RXRA,,RXRA,,6256,,"retinoid X receptor, alpha",ATG_RXRa_TRANS_dn,ATG_TRANS
198,142,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RXRB,RXRB,RXRB,6257,6257,"retinoid X receptor, beta","retinoid X receptor, beta",ATG_RXRb_TRANS_up,ATG_TRANS
199,1486,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,RXRB,,RXRB,,6257,,"retinoid X receptor, beta",ATG_RXRb_TRANS_dn,ATG_TRANS
200,143,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,THRA,THRA,THRA,7067,7067,"thyroid hormone receptor, alpha","thyroid hormone receptor, alpha",ATG_THRa1_TRANS_up,ATG_TRANS
201,1498,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,THRA,,THRA,,7067,,"thyroid hormone receptor, alpha",ATG_THRa1_TRANS_dn,ATG_TRANS
202,144,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,VDR,VDR,VDR,7421,7421,"vitamin D (1,25- dihydroxyvitamin D3) receptor","vitamin D (1,25- dihydroxyvitamin D3) receptor",ATG_VDR_TRANS_up,ATG_TRANS
203,1504,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,VDR,,VDR,,7421,,"vitamin D (1,25- dihydroxyvitamin D3) receptor",ATG_VDR_TRANS_dn,ATG_TRANS
204,145,17.5387641894987,36.1497831792766,R-T,regulation of gene expression,cell adhesion molecules,selectins,SELE,SELE,SELE,6401,6401,selectin E,selectin E,BSK_3C_Eselectin_down,BSK_3C
205,146,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,selectins,SELE,SELE,SELE,6401,6401,selectin E,selectin E,BSK_3C_Eselectin_up,BSK_3C
206,147,19.7887905017244,22.53607256335,R-T,regulation of gene expression,cell adhesion molecules,MHC Class II,HLA-DRA,HLA-DRA,HLA-DRA,3122,3122,"major histocompatibility complex, class II, DR alpha","major histocompatibility complex, class II, DR alpha",BSK_3C_HLADR_down,BSK_3C
207,148,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,MHC Class II,HLA-DRA,HLA-DRA,HLA-DRA,3122,3122,"major histocompatibility complex, class II, DR alpha","major histocompatibility complex, class II, DR alpha",BSK_3C_HLADR_up,BSK_3C
208,149,1000000.0,33.4989808816956,nR-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,ICAM1,ICAM1,ICAM1,3383,3383,intercellular adhesion molecule 1,intercellular adhesion molecule 1,BSK_3C_ICAM1_down,BSK_3C
209,150,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,ICAM1,ICAM1,ICAM1,3383,3383,intercellular adhesion molecule 1,intercellular adhesion molecule 1,BSK_3C_ICAM1_up,BSK_3C
210,151,1000000.0,13.2252719246261,nR-T,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_3C_IL8_down,BSK_3C
211,152,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_3C_IL8_up,BSK_3C
212,153,0.761426662727004,23.656429638228,R-T,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_3C_MCP1_down,BSK_3C
213,154,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_3C_MCP1_up,BSK_3C
214,155,1000000.0,18.4415248390951,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_3C_MIG_down,BSK_3C
215,156,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_3C_MIG_up,BSK_3C
216,157,8.65678265502905,21.3740399702773,R-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,BSK_3C_Proliferation_down,BSK_3C
217,158,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,proliferation,cell proliferation,,,,,,,BSK_3C_Proliferation_up,BSK_3C
218,159,1000000.0,16.0483921568066,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_3C_SRB_down,BSK_3C
219,160,1000000.0,1000000.0,nR-nT,cell death,cell morphology,cell conformation,cell death,,,,,,,BSK_3C_SRB_up,BSK_3C
220,161,1000000.0,1000000.0,nR-nT,regulation of gene expression,gpcr,rhodopsin-like receptor,THBD,THBD,THBD,7056,7056,thrombomodulin,thrombomodulin,BSK_3C_Thrombomodulin_down,BSK_3C
221,162,1000000.0,1000000.0,nR-nT,regulation of gene expression,gpcr,rhodopsin-like receptor,THBD,THBD,THBD,7056,7056,thrombomodulin,thrombomodulin,BSK_3C_Thrombomodulin_up,BSK_3C
222,163,1000000.0,35.3343507807152,nR-T,regulation of gene expression,cytokine,coagulation factor,F3,F3,F3,2152,2152,"coagulation factor III (thromboplastin, tissue factor)","coagulation factor III (thromboplastin, tissue factor)",BSK_3C_TissueFactor_down,BSK_3C
223,164,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,coagulation factor,F3,F3,F3,2152,2152,"coagulation factor III (thromboplastin, tissue factor)","coagulation factor III (thromboplastin, tissue factor)",BSK_3C_TissueFactor_up,BSK_3C
224,165,9.0327295773652,19.183285757392,R-T,regulation of gene expression,cytokine,plasmogen activator,PLAUR,PLAUR,PLAUR,5329,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",BSK_3C_uPAR_down,BSK_3C
225,166,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,plasmogen activator,PLAUR,PLAUR,PLAUR,5329,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",BSK_3C_uPAR_up,BSK_3C
226,167,1000000.0,28.1203719777199,nR-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_3C_VCAM1_down,BSK_3C
227,168,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_3C_VCAM1_up,BSK_3C
228,169,1000000.0,11.9049348759399,nR-T,cell morphology,cell morphology,cell conformation,cell morphology,,,,,,,BSK_3C_Vis_down,BSK_3C
229,170,1000000.0,1000000.0,nR-nT,cell morphology,cell morphology,cell conformation,cell morphology,,,,,,,BSK_3C_Vis_up,BSK_3C
230,171,6.06084884409157,14.9806167924231,R-T,regulation of gene expression,cytokine,chemotactic factor,CCL26,CCL26,CCL26,10344,10344,chemokine (C-C motif) ligand 26,chemokine (C-C motif) ligand 26,BSK_4H_Eotaxin3_down,BSK_4H
231,172,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CCL26,CCL26,CCL26,10344,10344,chemokine (C-C motif) ligand 26,chemokine (C-C motif) ligand 26,BSK_4H_Eotaxin3_up,BSK_4H
232,173,5.30162949033877,8.21936560201376,R-T,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_4H_MCP1_down,BSK_4H
233,174,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_4H_MCP1_up,BSK_4H
234,175,2.46679593605536,10.6775627570159,R-T,regulation of gene expression,cell adhesion molecules,selectins,SELP,SELP,SELP,6403,6403,"selectin P (granule membrane protein 140kDa, antigen CD62)","selectin P (granule membrane protein 140kDa, antigen CD62)",BSK_4H_Pselectin_down,BSK_4H
235,176,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,selectins,SELP,SELP,SELP,6403,6403,"selectin P (granule membrane protein 140kDa, antigen CD62)","selectin P (granule membrane protein 140kDa, antigen CD62)",BSK_4H_Pselectin_up,BSK_4H
236,177,10.5873153598809,29.7304000761494,R-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_4H_SRB_down,BSK_4H
237,178,1000000.0,1000000.0,nR-nT,cell death,cell morphology,cell conformation,cell death,,,,,,,BSK_4H_SRB_up,BSK_4H
238,179,10.3379044885296,21.6962356098982,R-T,regulation of gene expression,cytokine,plasmogen activator,PLAUR,PLAUR,PLAUR,5329,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",BSK_4H_uPAR_down,BSK_4H
239,180,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,plasmogen activator,PLAUR,PLAUR,PLAUR,5329,5329,"plasminogen activator, urokinase receptor","plasminogen activator, urokinase receptor",BSK_4H_uPAR_up,BSK_4H
